asin,name,brand,price,rating,total_ratings,file_source,amperag_capac,amperag_capac_origin,batteri_includ,batteri_includ_origin,best_seller_rank,best_seller_rank_origin,brand_name,brand_name_origin,certification,certification_origin,color,color_origin,compatibledevic,compatibledevic_origin,conductor,conductor_origin,connectortyp,connectortyp_origin,contactmateri,contactmateri_origin,countryoforigin,countryoforigin_origin,current,current_origin,custom_review,custom_review_origin,date_first_avail,date_first_avail_origin,descript,descript_origin,finish,finish_origin,gaug,gaug_origin,inputcurr,inputcurr_origin,instal_method,instal_method_origin,is_discontinu_by_manufactur,is_discontinu_by_manufactur_origin,manufactur,manufactur_origin,materi,materi_origin,measur_system,measur_system_origin,no_of_wire,no_of_wire_origin,numberofcablestrand,numberofcablestrand_origin,packag_dimens,packag_dimens_origin,pattern,pattern_origin,plug_format,plug_format_origin,power_sourc,power_sourc_origin,shape,shape_origin,size,size_origin,specif_met,specif_met_origin,strands,strands_origin,studsiz,studsiz_origin,style,style_origin,suggest_user,suggest_user_origin,switch_style,switch_style_origin,temperature,temperature_origin,termin,termin_origin,unit_count,unit_count_origin,upc,upc_origin,usag,usag_origin,voltag,voltag_origin,wattag,wattag_origin
B0C1H1B4P4,"trueCABLE Shielded Ethernet Patch Panel Bond & Ground Extension Wire Adapter, NEMA 5-15P 3 Prong Plug, 14 AWG, 6 Foot",TRUECABLE,28.99,4.8,23.0,B0C1H1B4P4_product_details.json,,,,,"#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire",,,,UL,{'features': 'UL'},green,{'features': 'green'},"ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors","{'overview': 'ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors'}",,,Plugin,{'overview': 'Plugin'},,,Taiwan,{'details_table': 'Taiwan'},15A,{'features': '15A'},4.84.8outof5stars23ratings,,"March21,2023",,,,,,,,,,,,,,trueCABLE,{'details_table': 'trueCABLE'},copper,,,,14 AWG,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ truePLUG,,5.08x2.09x2.05inches;2.7ounces,,,,,,,,,,3.70m,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0CPPWBGT8,"22 Gauge Wire 2 Conductor Electrical Wire, 22 AWG Wire Stranded PVC Cord, 12V Low Voltage/Oxygen-Free Tinned Copper/Flexible 22/2 Cable for Automotive Marine LED Strips Lamps Lighting (30FT/ 9M)",Oududianzi,9.99,4.8,435.0,B0CPPWBGT8_product_details.json,,,,,"#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire",,,,Flame retardant,{'features': 'Flame retardant'},2C-22AWG,"{'overview': '2C-22AWG', 'features': 'Black'}",,,2.0 C,{'features': '2 Conductor'},,,,,,,3A,{'features': '3A'},4.84.8outof5stars435ratings,,"December7,2023",,,,,,22,{'overview': '22'},,,,,,,Yongshun,{'details_table': 'Yongshun'},TinnedCopper,{'overview': 'TinnedCopper'},,,⚠️CONFLICT⚠️ 16AWG,,⚠️CONFLICT⚠️ MultiStrand,{'overview': 'MultiStrand'},5.79x5.79x1.5inches;3.84ounces,,,,,,,,,,100FT,,,,17 strands,{'features': '17 strands'},,,,,,,,,40°F,{'features': '40°F'},,,,,,,,,300V,,,
B07J4G6C6C,"25ft Rope Covered Lamp Twisted Wire,PRUNLLA Vintage 18/2 Industrial Electrical Hemp Rope Cord,18-Gauge Antique Style for Retro Lamp,DIY Projects",PRUNLLA,16.99,4.6,291.0,B07P6GYHVP_product_details.json,,,,,"#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire",,,,,,HempRope,{'overview': 'HempRope'},,,2 Conductor,{'features': '2 Conductor'},,,,,,,,,4.64.6outof5stars291ratings,,"October8,2018",,,,,,18.0,{'overview': '18.0'},,,,,No,,PRUNLLA,{'details_table': 'PRUNLLA'},⚠️CONFLICT⚠️ Copper,{'overview': 'Copper'},,,⚠️CONFLICT⚠️ 18AWG,,⚠️CONFLICT⚠️ 2,{'overview': '2'},8.74x8.07x2.32inches;10.23ounces,,,,,,,,,,7.62 M,,,,,,,,,,,,,,105°C,{'from_the_manufacturer': '105°C'},,,,,,,,,300V,,,
B003J63662,"Southwire 55213443 100-Feet 12-Gauge 2 Conductor 12/2 Low-Voltage Underground Direct Burial Landscape Lighting Cable, Black",Southwire,84.0,4.7,771.0,B003J63662_product_details.json,,,⚠️CONFLICT⚠️ No,{'details_table': 'No'},"#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire","{'details_table': '#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire'}",,,CSA,{'features': 'CSA'},black,"{'overview': 'black', 'details_table': 'black'}",,,,,,,,,,,,,"4.7  4.7 out of 5 stars    
    771 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    771 ratings   \n\n\n 4.7 out of 5 stars'},"December 13, 2011","{'details_table': 'December 13, 2011'}",Warranty,{'details_table': 'Warranty'},,,2_gauge,"{'overview': '2_gauge', 'details_table': '2_gauge'}",,,,,No,{'details_table': 'No'},Southwire,{'details_table': 'Southwire'},Polyvinyl Chloride,"{'overview': 'PolyvinylChloride', 'details_table': 'Polyvinyl Chloride'}",,,⚠️CONFLICT⚠️ 2,{'details_table': '2'},⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 12strands,{'overview': '12strands'},11 x 10 x 17 inches,,,,,,,,Round,{'details_table': 'Round'},100 ft,{'details_table': '100 ft'},,,,,,,,,,,,,,,,,,,032886860485,{'details_table': '032886860485'},,,150 Volts,{'details_table': '150 Volts'},,
B0CSW2L7RC,"22 Gauge Electrical Wire 8 Conductor, 22AWG 50FT Thermostat Wire PVC Stranded, 22/8 Low Voltage LED Cable, Flexible Extension Power Cord, Tinned Copper Cable Hookup Wire",YAMAWIROU,21.23,4.6,136.0,B0CSW2L7RC_product_details.json,,,,,"#165,195inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#816inElectricalWire",,,,flame retardant,{'features': 'flame retardant'},Black,{'overview': 'Black'},,,⚠️CONFLICT⚠️ 8 Conductor,"{'from_the_manufacturer': '8 Conductor', 'features': '8 Conductor'}",,,,,China,{'details_table': 'China'},5A,{'features': '5A'},4.64.6outof5stars136ratings,,"January20,2024",,,,,,,,,,,,,,YAMAWIROU,{'details_table': 'YAMAWIROU'},⚠️CONFLICT⚠️ Copper,{'overview': 'Copper'},,,22AWG,,⚠️CONFLICT⚠️ 8,{'overview': '8'},2x2x2inches;4.8ounces,,,,,,,,,,50Ft,,,,,,,,,,,,,,,,,,,,,,,,300.0 V,{'overview': '300Volts'},,
B01MDKIL5N,YXQ 30AWG Wire Wrapping Wire PVC Coated Tin Plated Copper Wire Cable 305M White Coated Wire for DIY PCB Soldering,YXQ,7.99,4.4,116.0,B01MDKIL5N_product_details.json,,,No,{'details_table': 'No'},"#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire","{'details_table': '#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire'}",,,,,White,"{'overview': 'White', 'details_table': 'White'}",,,,,,,,,,,,,"4.4  4.4 out of 5 stars    
    116 ratings   


 4.4 out of 5 stars",{'details_table': '4.4  4.4 out of 5 stars    \n    116 ratings   \n\n\n 4.4 out of 5 stars'},"October 11, 2016","{'details_table': 'October 11, 2016'}",,,,,,,,,,,No,{'details_table': 'No'},YXQ,{'details_table': 'YXQ'},⚠️CONFLICT⚠️ Tin-plated Copper,"{'overview': 'Tin-platedCopper', 'details_table': 'Tin-plated Copper'}",,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 1,{'details_table': '1'},⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 1,{'overview': '1'},4.84 x 3.43 x 1.5 inches,{'details_table': '4.84 x 3.43 x 1.5 inches'},,,,,,,,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 1000 Feet,{'details_table': '1000 Feet'},,,,,,,,,,,,,,,,,,,611553144952,{'details_table': '611553144952'},,,,,,
B0C4GXNNBD,"Firmerst 18 Gauge 200 Feet 4 Conductor Tinned Copper Electrical Wire for Lighting, Speakers, Relays, Controllers",FIRMERST,73.99,4.7,336.0,B0C4GXNNBD_product_details.json,,,,,"#43,912inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#233inElectricalWire",,,,VW-1,{'features': 'VW-1'},,,,,⚠️CONFLICT⚠️ 4 conductor,"{'from_the_manufacturer': '4 conductor', 'features': '4 conductor'}",,,,,,,,,4.74.7outof5stars336ratings,,"May6,2023",,,,,,,,,,,,,,FIRMERST,{'details_table': 'FIRMERST'},⚠️CONFLICT⚠️ TinnedCopper,{'overview': 'TinnedCopper'},,,⚠️CONFLICT⚠️ 16AWG,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ MultiStrand,{'overview': 'MultiStrand'},,,,,,,,,,,⚠️CONFLICT⚠️ 200 ft,,,,,,,,,,,,,,,,,,,,,,,,300.0 V,{'overview': '300Volts'},,
B07CWPTHYH,"40ft 18 AWG Gauge Electrical Wire, Premium DC 12V Hookup Red Black Copper Stranded Auto 2 Cord, Flexible Extension Cable with Spool for LED Ribbon Lamp Light or Low Voltage Products by MILAPEAK",MILAPEAK,11.89,4.6,457.0,B07CWPTHYH_product_details.json,,,,,"#479,731inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,203inElectricalWire",,,,,,Black,"{'overview': 'Black', 'from_the_manufacturer': 'Red'}",,,,,,,,,,,,,4.64.6outof5stars457ratings,,"May7,2018",,,,,,18.00,{'overview': '18.00'},,,,,No,,MILAPEAK,{'details_table': 'MILAPEAK'},⚠️CONFLICT⚠️ Copper,{'overview': 'Copper'},,,18 AWG,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 2,{'overview': '2'},,,,,,,,,,,⚠️CONFLICT⚠️ 0.85 m,,,,,,,,,,,,,,,,,,,,,,,,12V,,,
B0B3H27JG2,"20 AWG PVC Electrical Wire,THUN-CT Electrical Wire Kit 6 Colors (23ft Each),Tinned Copper Wire, 20 Gauge Stranded Hook Up Wires Kit",THUN-CT,13.79,4.6,1521.0,B0B3H27JG2_product_details.json,,,,,"#114,274inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#599inElectricalWire",,,,,,6Colors,{'overview': '6Colors'},,,,,,,,,China,{'details_table': 'China'},,,"4.64.6outof5stars1,521ratings",,"April25,2023",,,,,,20.0,{'overview': '20.0'},,,,,,,THUN-CT,{'details_table': 'THUN-CT'},⚠️CONFLICT⚠️ Copper,{'overview': 'Copper'},,,22AWG,,⚠️CONFLICT⚠️ 26,{'overview': '26'},7.09x5.98x0.94inches;14.89ounces,,,,,,,,,,0.10m,,,,26 strands,{'features': '26 strands'},,,,,,,,,,,,,,,,,,,300V,,,
B08R7ZT3C7,"Wirenco 8/2 Metal Clad (MC) Cable with Ground, Aluminum Armored, Stranded Copper Conductor (25Ft Cut)",wirenco,65.6,4.8,123.0,B08R7ZT3C7_product_details.json,,,,,"#119,891inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#616inElectricalWire",,,,UL,{'features': 'UL'},Aluminum,{'overview': 'Aluminum'},,,,,,,,,USA,{'details_table': 'USA'},55 Amps,{'features': '55 Amps'},4.84.8outof5stars123ratings,,"December23,2020",,,,,,8.0,{'overview': '8.0'},,,,,,,wirenco,{'details_table': 'wirenco'},⚠️CONFLICT⚠️ Copper,{'overview': 'Copper'},,,,,⚠️CONFLICT⚠️ 19,{'overview': '19'},17.17x16.61x4.57inches;6.53Pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08V4L3H2H,"Wirenco 12/2 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Equivalent to (100Ft Cut)",wirenco,82.26,4.7,309.0,B08V4L3H2H_product_details.json,,,,,"#54,382inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#284inElectricalWire",,,,,,Yellow,{'overview': 'Yellow'},,,,,,,,,USA,{'details_table': 'USA'},20 Amps,{'features': '20 Amps'},4.74.7outof5stars309ratings,,"January25,2021",,,,,,6.0,{'overview': '6.0'},,,,,,,wirenco,{'details_table': 'wirenco'},Copper,{'overview': 'Copper'},,,12 AWG,,⚠️CONFLICT⚠️ 1,{'overview': '1'},11.26x10.04x2.48inches;8.3Pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002RL9JAW,Southwire 9044SW8808 Range Power Cord; 4-Foot; 1/4-Inch Flanged Terminals; Flat Plug; Compatible With Most Standard Free Standing Electrical Ranges With A 4 Conductor Wall Outlet; 125/250-Volt; 50-Amp,Southwire,28.4,4.7,840.0,B083K5FQ3B_product_details.json,50 Amps,{'details_table': '50 Amps'},⚠️CONFLICT⚠️ No,{'details_table': 'No'},"#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs","{'details_table': '#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs'}",,,UL,{'features': 'UL'},Black/Yellow,"{'overview': 'Black/Yellow', 'details_table': 'Black/Yellow'}",,,,,Female-to-Male,,,,,,,,"4.7  4.7 out of 5 stars    
    840 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    840 ratings   \n\n\n 4.7 out of 5 stars'},"February 17, 2007","{'details_table': 'February 17, 2007'}",,,Brushed,{'details_table': 'Brushed'},,,15Amps,{'overview': '15Amps'},,,Yes,{'details_table': 'Yes'},Coleman Cable,{'details_table': 'Coleman Cable'},⚠️CONFLICT⚠️ Blend,{'details_table': 'Blend'},,,,,⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ ⚠️CONFLICT⚠️ 9044SW8808,,12 x 2 x 10 inches,,Power Cord,{'details_table': 'Power Cord'},4 PIN,{'details_table': '4 PIN'},ac,{'details_table': 'ac'},Rectangular,{'details_table': 'Rectangular'},4',"{'details_table': ""4'""}",,,,,,,4 Wire,{'details_table': '4 Wire'},,,(Old),{'details_table': '(Old)'},,,,,,,,,,,250 Volts,"{'overview': '250Volts', 'details_table': '250 Volts'}",12500.00,{'details_table': '12500.00'}
B088RC5ZT3,"100FT 22AWG Electrical Wire, 22/2 Gauge Oxygen Free Copper 12V/24V DC Red Black Zip Cord Wire Parallel Extension Wire, LED Strip Lights Hookup Wire for Led Strips Single Color 3528 5050",AOTORUA,,4.6,409.0,B088RC5ZT3_product_details.json,,,,,"#408,907inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,900inElectricalWire",,,,flame retardant,{'features': 'flame retardant'},Red&Black,"{'overview': 'Red&Black', 'features': 'Red'}",,,,,,,,,,,,,4.64.6outof5stars409ratings,,"May18,2020",,,,,,22.0,{'overview': '22.0'},,,,,,,Aotorua,{'details_table': 'Aotorua'},Copper,{'overview': 'Copper'},,,22 AWG,,⚠️CONFLICT⚠️ 25,{'overview': '25'},,,,,,,,,,,⚠️CONFLICT⚠️ 0.13M,,,,25 STRANDS,{'features': '25 STRANDS'},,,,,,,,,,,,,,,,,,,12V,,,
