date,estimated_units_sold,last_known_price
2025-07-05,90,24.93
2025-07-06,91,24.93
2025-07-07,88,24.93
2025-07-08,89,24.93
2025-07-09,85,24.88
2025-07-10,121,24.88
2025-07-11,122,24.88
2025-07-12,122,24.9
2025-07-13,124,24.9
2025-07-14,116,24.9
2025-07-15,110,24.9
2025-07-16,106,24.9
2025-07-17,106,24.9
2025-07-18,102,24.9
2025-07-19,102,24.9
